start_node,end_node,paths,speed_limit_kph,distance_meters,duration_seconds,route,is_signed,is_blocked
"(40.817387, -73.925413)","(40.817501, -73.925585)",unnamed roads,25,20.1168,2.8968192,ambulance entrance,emergency,0
"(40.817501, -73.925585)","(40.817980, -73.925216)",park avenue,30,60.96,7.3152,street,oneway,0
"(40.817980, -73.925216)","(40.819259, -73.924069)",park avenue,30,160.934,19.31208,street,oneway,0
"(40.819259, -73.924069)","(40.820560, -73.922594)",park avenue,30,160.934,19.31208,street,oneway,0
"(40.820560, -73.922594)","(40.821551, -73.921220)",park avenue,30,160.934,19.31208,street,oneway,0
"(40.821551, -73.921220)","(40.821518, -73.920868)",concourse village,30,32.004,3.84048,street,oneway,0
"(40.821518, -73.920868)","(40.822254, -73.920331)",morris avenue,40,92.964,8.36676,widestreet,twoway,0
"(40.822254, -73.920331)","(40.823386, -73.918344)",park avenue,30,160.934,19.31208,street,oneway,0
"(40.823386, -73.918344)","(40.823892, -73.917575)",park avenue,30,84.1248,10.094976,street,oneway,0
"(40.823892, -73.917575)","(40.824393, -73.916772)",park avenue,30,88.0872,10.570464,street,oneway,0
"(40.824393, -73.916772)","(40.824846, -73.916064)",park avenue,30,78.9432,9.473184,street,oneway,0
"(40.824846, -73.916064)","(40.824702, -73.915523)",161st street,40,46.9392,4.224528,widestreet,twoway,0
"(40.824702, -73.915523)","(40.825219, -73.914749)",courtlandt avenue,30,86.868,10.42416,street,oneway,0
"(40.825219, -73.914749)","(40.825697, -73.913982)",courtlandt avenue,30,82.9056,9.948672,street,oneway,0
"(40.825697, -73.913982)","(40.826014, -73.913553)",courtlandt avenue,30,49.9872,5.998464,street,oneway,0
"(40.817980, -73.925216)","(40.817446, -73.922738)",149th street,40,160.934,14.48406,widestreet,twoway,0
"(40.817446, -73.922738)","(40.818062, -73.922447)",morris avenue,40,71.0184,6.391656,widestreet,twoway,0
"(40.818062, -73.922447)","(40.818802, -73.922122)",morris avenue,40,88.0872,7.927848,widestreet,twoway,0
"(40.818802, -73.922122)","(40.820204, -73.921469)",morris avenue,40,160.934,14.48406,widestreet,twoway,0
"(40.820204, -73.921469)","(40.821518, -73.920868)",morris avenue,40,160.934,14.48406,widestreet,twoway,0
"(40.821518, -73.920868)","(40.822254, -73.920331)",morris avenue,40,92.964,8.36676,widestreet,twoway,0
"(40.822254, -73.920331)","(40.822683, -73.920097)",morris avenue,40,53.0352,4.773168,widestreet,twoway,0
"(40.822683, -73.920097)","(40.823873, -73.919424)",morris avenue,40,142.951,12.86559,widestreet,twoway,0
"(40.823873, -73.919424)","(40.825560, -73.918473)",morris avenue,40,321.869,28.96821,widestreet,twoway,0
"(40.825560, -73.918473)","(40.824999, -73.916618)",161st street,40,160.934,19.31208,widestreet,twoway,0
"(40.824999, -73.916618)","(40.824846, -73.916064)",161st street,40,52.1208,4.690872,widestreet,twoway,0
"(40.824846, -73.916064)","(40.824702, -73.915523)",161st street,40,46.9392,4.224528,widestreet,twoway,0
"(40.819259, -73.924069)","(40.818802, -73.922122)",151st street,30,160.934,19.31208,street,oneway,0
"(40.820560, -73.922594)","(40.820204, -73.921469)",153rd street,30,103.022,12.36264,street,oneway,0
"(40.823386, -73.918344)","(40.823873, -73.919424)",158th street,30,107.899,12.94788,street,oneway,0
"(40.817980, -73.925216)","(40.818320, -73.926339)",149th street,40,103.937,9.35433,street,twoway,0
"(40.818320, -73.926339)","(40.819226, -73.926009)",150th street,30,99.06,11.8872,street,oneway,0
"(40.819226, -73.926009)","(40.819488, -73.926874)",150th street,30,78.9432,9.473184,street,oneway,0
"(40.818320, -73.926339)","(40.818560, -73.927245)",149th street,30,81.0768,9.729216,street,oneway,0
"(40.818560, -73.927245)","(40.819488, -73.926874)",grand concourse,40,113.995,10.25955,boulevard,twoway,0
"(40.819488, -73.926874)","(40.821139, -73.925636)",grand concourse,40,160.934,14.48406,boulevard,twoway,0
"(40.821139, -73.925636)","(40.821035, -73.924640)",153rd street,30,86.868,10.42416,street,oneway,0
"(40.821035, -73.924640)","(40.823105, -73.923383)",concourse village,30,321.869,38.62428,street,oneway,0
"(40.823105, -73.923383)","(40.823618, -73.923075)",concourse village,30,63.0936,7.57123,street,oneway,0
"(40.823618, -73.923075)","(40.824966, -73.922281)",concourse village,30,160.934,19.31208,street,oneway,0
"(40.824966, -73.922281)","(40.825650, -73.921754)",concourse village,30,89.0016,10.68019,street,oneway,0
